,Injection name,Compound name,Injection time,Peak mass,Error to closest theory mass (ppm),Closest theory mass,Ligand count,Relative labelling
0,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,33795.90970454744,11.4005234181353,33796.295000000035,0,0.0
1,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,33828.26698497344,946.0204135809216,33796.295000000035,0,0.0
2,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,34088.72353691469,2.5092499926819825,34088.638000000035,1,82.92494155174765
3,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,34109.97871610684,626.036044819466,34088.638000000035,1,0.0
4,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,34129.944239844,1211.7304259549799,34088.638000000035,1,0.0
5,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,4.66,34502.902521085365,3546.19087469694,34380.981000000036,2,0.0
6,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,61.66,33826.73452907669,900.6765113351961,33796.295000000035,0,0.0
7,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,61.66,34049.95208221015,1134.8625248649626,34088.638000000035,1,0.0
8,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,61.66,34089.567495559204,27.26701956143191,34088.638000000035,1,92.76289337463825
9,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,61.66,34126.04886411488,1097.458458587913,34088.638000000035,1,0.0
10,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,61.66,34151.06941388096,1831.4434821634018,34088.638000000035,1,0.0
11,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,33828.683020769575,958.3305143223578,33796.295000000035,0,0.0
12,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,34006.73343634876,2402.69393137017,34088.638000000035,1,0.0
13,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,34077.47375137408,327.50644440411054,34088.638000000035,1,0.0
14,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,34089.574731636945,27.479291983147736,34088.638000000035,1,93.56720888751643
15,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,34110.91068176916,653.3755255672527,34088.638000000035,1,0.0
16,4_SIM-SYN-f15aaa3a-1,SIM-SYN-f15aaa3a-1,181.66,34501.83885993916,3515.253387886915,34380.981000000036,2,0.0
